,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,star,writer,year,ROI_pct,release_dt
0,44287414,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,8/22/1986,89,Wil Wheaton,Stephen King,1986,553.592675,1986-08-22
1,64136369,6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,6/11/1986,103,Matthew Broderick,John Hughes,1986,1068.9394833333333,1986-06-11
2,164800601,15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,5/16/1986,110,Tom Cruise,Jim Cash,1986,1098.6706733333333,1986-05-16
3,66660248,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,7/18/1986,137,Sigourney Weaver,James Cameron,1986,360.32566486486485,1986-07-18
4,9564613,9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,8/1/1986,90,Joey Cramer,Mark H. Baker,1986,106.27347777777779,1986-08-01
5,132530565,6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,2/6/1987,120,Charlie Sheen,Oliver Stone,1986,2208.8427500000003,1987-02-06
6,-12270083,25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,6/27/1986,101,David Bowie,Dennis Lee,1986,-49.080332,1986-06-27
7,2551228,6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,10/23/1986,120,Isabella Rossellini,David Lynch,1986,42.520466666666664,1986-10-23
8,31471663,9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,2/28/1986,96,Molly Ringwald,John Hughes,1986,349.6851444444444,1986-02-28
9,25456565,15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,8/15/1986,96,Jeff Goldblum,George Langelaan,1986,169.71043333333333,1986-08-15
10,165835000,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,9/26/1986,97,Paul Hogan,Ken Shadie,1986,1884.4886363636363,1986-09-26
11,-10100000,16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,3/7/1986,116,Christopher Lambert,Gregory Widen,1986,-63.125,1986-03-07
12,2200000,6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,3/28/1986,100,Corey Haim,David Seltzer,1986,36.666666666666664,1986-03-28
13,-13900000,25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,7/2/1986,99,Kurt Russell,Gary Goldman,1986,-55.60000000000001,1986-07-02
14,-6379071,15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,8/15/1986,120,William Petersen,Thomas Harris,1986,-42.52714,1986-08-15
15,-10265156,17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9� Weeks,R,2/21/1986,117,Mickey Rourke,Elizabeth McNeill,1986,-60.38327058823529,1986-02-21
16,-2566337,10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,7/25/1986,98,Emilio Estevez,Stephen King,1986,-25.66337,1986-07-25
17,13747385,25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,12/19/1986,94,Rick Moranis,Howard Ashman,1986,54.989540000000005,1986-12-19
18,800000,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,11/21/1986,93,Charlie Sheen,Mike Marvin,1986,29.629629629629626,1986-11-21
19,-18704226,35000000,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,8/1/1986,110,Lea Thompson,Steve Gerber,1986,-53.440645714285715,1986-08-01
20,11167232,2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,4/11/1986,82,Dee Wallace,Domonic Muir,1986,558.3616000000001,1986-04-11
21,80258000,11000000,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,PG-13,6/13/1986,96,Rodney Dangerfield,Rodney Dangerfield,1986,729.6181818181818,1986-06-13
22,3325872,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,8/22/1986,89,Dennis Hopper,L.M. Kit Carson,1986,70.7632340425532,1986-08-22
23,27724017,15000000,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,12/5/1986,130,Clint Eastwood,James Carabatsos,1986,184.82677999999999,1986-12-05
24,84713132,25000000,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,11/26/1986,119,William Shatner,Gene Roddenberry,1986,338.852528,1986-11-26
28,54817937,25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,12/12/1986,94,Eddie Murphy,Dennis Feldman,1986,219.27174800000003,1986-12-12
29,2700000,1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,5/8/1987,99,Crispin Glover,Neal Jimenez,1986,142.10526315789474,1987-05-08
