,profit,budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,ROI_pct,release_dt
0,44287414,8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,8/22/1986,89,8.1,Wil Wheaton,299174,Stephen King,1986,553.592675,1986-08-22
1,64136369,6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,6/11/1986,103,7.8,Matthew Broderick,264740,John Hughes,1986,1068.9394833333333,1986-06-11
2,164800601,15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,5/16/1986,110,6.9,Tom Cruise,236909,Jim Cash,1986,1098.6706733333333,1986-05-16
3,66660248,18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,7/18/1986,137,8.4,Sigourney Weaver,540152,James Cameron,1986,360.32566486486485,1986-07-18
4,9564613,9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,8/1/1986,90,6.9,Joey Cramer,36636,Mark H. Baker,1986,106.27347777777776,1986-08-01
5,132530565,6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,2/6/1987,120,8.1,Charlie Sheen,317585,Oliver Stone,1986,2208.8427500000003,1987-02-06
6,-12270083,25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,6/27/1986,101,7.4,David Bowie,102879,Dennis Lee,1986,-49.080332000000006,1986-06-27
7,2551228,6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,10/23/1986,120,7.8,Isabella Rossellini,146768,David Lynch,1986,42.520466666666664,1986-10-23
8,31471663,9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,2/28/1986,96,6.8,Molly Ringwald,60565,John Hughes,1986,349.6851444444444,1986-02-28
9,25456565,15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,8/15/1986,96,7.5,Jeff Goldblum,129698,George Langelaan,1986,169.71043333333333,1986-08-15
10,165835000,8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,9/26/1986,97,6.5,Paul Hogan,79465,Ken Shadie,1986,1884.4886363636363,1986-09-26
11,-10100000,16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,3/7/1986,116,7.2,Christopher Lambert,104860,Gregory Widen,1986,-63.125,1986-03-07
12,2200000,6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,3/28/1986,100,6.8,Corey Haim,12228,David Seltzer,1986,36.66666666666667,1986-03-28
13,-13900000,25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,7/2/1986,99,7.3,Kurt Russell,101678,Gary Goldman,1986,-55.60000000000001,1986-07-02
14,-6379071,15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,8/15/1986,120,7.2,William Petersen,54000,Thomas Harris,1986,-42.527139999999996,1986-08-15
15,-10265156,17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9� Weeks,R,2/21/1986,117,5.9,Mickey Rourke,31798,Elizabeth McNeill,1986,-60.38327058823529,1986-02-21
16,-2566337,10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,7/25/1986,98,5.4,Emilio Estevez,24881,Stephen King,1986,-25.663369999999997,1986-07-25
17,13747385,25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,12/19/1986,94,6.9,Rick Moranis,53327,Howard Ashman,1986,54.989540000000005,1986-12-19
18,800000,2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,11/21/1986,93,5.9,Charlie Sheen,11635,Mike Marvin,1986,29.629629629629626,1986-11-21
19,-18704226,35000000,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,8/1/1986,110,4.6,Lea Thompson,36020,Steve Gerber,1986,-53.44064571428571,1986-08-01
20,11167232,2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,4/11/1986,82,6.0,Dee Wallace,25517,Domonic Muir,1986,558.3616000000001,1986-04-11
21,80258000,11000000,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,PG-13,6/13/1986,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986,729.6181818181818,1986-06-13
22,3325872,4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,8/22/1986,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986,70.76323404255321,1986-08-22
23,27724017,15000000,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,12/5/1986,130,6.8,Clint Eastwood,32954,James Carabatsos,1986,184.82677999999999,1986-12-05
24,84713132,25000000,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,11/26/1986,119,7.3,William Shatner,66366,Gene Roddenberry,1986,338.85252799999995,1986-11-26
28,54817937,25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,12/12/1986,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986,219.27174800000003,1986-12-12
29,2700000,1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,5/8/1987,99,7.1,Crispin Glover,12862,Neal Jimenez,1986,142.10526315789474,1987-05-08
30,14246734,25000000,L.A. Films,USA,John Landis,Comedy,39246734,�Three Amigos!,PG,12/12/1986,104,6.4,Steve Martin,57406,Steve Martin,1986,56.986936,1986-12-12
31,24042224,25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,5/23/1986,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986,96.168896,1986-05-23
33,-7281977,24500000,Warner Bros.,UK,Roland Joff�,Adventure,17218023,The Mission,PG,10/31/1986,125,7.5,Robert De Niro,47497,Robert Bolt,1986,-29.722355102040822,1986-10-31
34,38493982,13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,10/17/1986,119,7.0,Paul Newman,62495,Walter Tevis,1986,278.94189855072466,1986-10-17
