,month_of_date
0,2
1,9
2,2
3,10
4,8
5,7
6,3
7,10
8,1
9,4
10,8
11,8
12,9
13,5
14,1
15,10
16,10
17,7
18,11
19,9
20,1
21,4
22,8
23,8
24,9
25,3
26,7
27,4
28,2
29,3
30,3
31,1
32,5
33,6
34,8
35,7
36,3
37,6
38,8
39,8
40,3
41,8
42,10
43,9
44,2
45,6
46,6
47,8
48,8
49,7
50,9
51,4
52,4
53,8
54,8
55,4
56,6
57,1
58,9
59,9
60,9
61,9
62,5
63,9
64,11
65,1
66,6
67,2
68,10
69,9
70,7
71,7
72,9
73,8
74,8
75,7
76,11
77,6
78,11
79,7
80,8
81,2
82,11
83,6
84,3
85,3
86,7
87,3
88,3
89,3
90,4
91,4
92,4
93,6
94,6
95,4
96,2
97,3
98,12
99,6
100,3
101,3
102,11
103,7
104,7
105,7
106,10
107,7
108,4
109,4
110,9
111,8
112,3
113,5
114,9
115,5
116,1
117,2
118,8
119,8
120,8
121,9
122,7
123,3
124,7
125,7
126,3
127,9
128,4
129,8
130,10
131,4
132,8
133,9
134,1
135,8
136,11
137,5
138,3
139,1
140,6
141,3
142,9
143,5
144,1
145,6
146,1
147,5
148,4
149,1
150,9
151,1
152,4
153,4
154,1
155,6
156,12
157,4
158,6
159,4
160,5
161,2
162,10
163,1
164,9
165,5
166,9
167,10
168,7
169,11
170,8
171,3
172,11
173,9
174,1
175,7
176,1
177,4
178,10
179,11
180,11
181,11
182,12
183,3
184,9
185,5
186,9
187,2
188,9
189,1
190,10
191,1
192,4
193,7
194,2
195,3
196,1
197,8
198,1
199,6
200,3
201,4
202,2
203,2
204,8
205,8
206,6
207,1
208,11
209,8
210,6
211,1
212,4
213,4
214,8
215,6
216,1
217,8
218,9
219,8
220,4
221,3
222,3
223,7
224,5
225,8
226,9
227,3
228,9
229,2
230,6
231,1
232,2
233,11
234,4
235,8
236,4
237,4
238,7
239,6
240,9
241,8
242,4
243,7
244,3
245,9
246,1
247,9
248,2
249,1
250,4
251,3
252,8
253,3
254,4
255,12
256,7
257,1
258,6
259,1
260,5
261,11
262,1
263,4
264,1
265,11
266,1
267,4
268,3
269,1
270,6
271,10
272,8
273,5
274,9
275,11
276,6
277,11
278,5
279,7
280,9
281,3
282,6
283,9
284,12
285,9
286,11
287,5
288,9
289,5
290,9
291,4
292,9
293,1
294,7
295,6
296,8
297,5
298,3
299,3
300,3
301,10
302,7
303,12
304,2
305,6
306,11
307,7
308,9
309,8
310,6
311,10
312,10
313,4
314,1
315,1
316,1
317,12
318,6
319,7
320,5
321,10
322,1
323,10
324,11
325,8
326,9
327,3
328,5
329,3
330,1
331,9
332,7
333,3
334,1
335,6
336,2
337,6
338,5
339,2
340,6
341,10
342,5
343,1
344,10
345,2
346,11
347,10
348,4
349,8
350,11
351,4
352,6
353,5
354,11
355,7
356,2
357,3
358,10
359,3
360,9
361,10
362,4
363,1
364,5
365,11
366,10
367,5
368,1
369,2
370,8
371,8
372,1
373,11
374,10
375,4
376,3
377,1
378,9
379,1
380,5
381,8
382,9
383,8
384,4
385,7
386,1
387,10
388,6
389,10
390,10
391,5
392,8
393,1
394,4
395,3
396,7
397,11
398,10
399,11
400,5
401,8
402,4
403,9
404,1
405,2
406,1
407,11
408,5
409,9
410,3
411,1
412,8
413,11
414,9
415,9
416,1
417,10
418,4
419,5
420,2
421,5
422,6
423,6
424,12
425,12
426,4
427,6
428,3
429,1
430,6
431,5
432,5
433,6
434,2
435,5
436,11
437,12
438,8
439,5
440,9
441,11
442,3
443,12
444,6
445,7
446,5
447,11
448,1
449,9
450,10
451,4
452,12
453,3
454,10
455,1
456,2
457,1
458,2
459,1
460,4
461,7
462,8
463,1
464,5
465,2
466,5
467,11
468,10
469,6
470,4
471,9
472,5
473,3
474,10
475,9
476,10
477,6
478,7
479,9
480,6
481,8
482,4
483,2
484,1
485,4
486,3
487,9
488,11
489,3
490,9
491,4
492,4
493,11
494,9
495,2
496,8
497,1
498,9
499,4
500,12
501,1
502,3
503,9
504,2
505,4
506,11
507,9
508,9
509,3
510,8
511,9
512,7
513,5
514,2
515,10
516,5
517,2
518,4
519,9
520,10
521,12
522,11
523,9
524,2
525,10
526,5
527,3
528,10
529,10
530,3
531,1
532,9
533,3
534,7
535,5
536,4
537,7
538,3
539,1
540,4
541,10
542,9
543,11
544,10
545,3
546,9
547,5
548,1
549,5
550,11
551,4
552,1
553,4
554,6
555,3
556,11
557,5
558,11
559,11
560,1
561,4
562,10
563,11
564,5
565,9
566,9
567,8
568,4
569,1
570,11
571,8
572,11
573,2
574,12
575,5
576,7
577,9
578,4
579,11
580,7
581,2
582,1
583,10
584,7
585,1
586,3
587,4
588,4
589,5
590,9
591,5
592,4
593,1
594,4
595,5
596,3
597,4
598,1
599,4
600,12
601,9
602,4
603,9
604,4
605,8
606,11
607,7
608,12
609,3
610,2
611,6
612,3
613,12
614,6
615,1
616,2
617,6
618,5
619,5
620,7
621,3
622,5
623,9
624,6
625,8
626,10
627,6
628,8
629,6
630,8
631,4
632,7
633,4
634,11
635,10
636,4
637,1
638,8
639,2
640,5
641,6
642,2
643,9
644,4
645,3
646,6
647,2
648,5
649,5
650,9
651,4
652,6
653,9
654,3
655,11
656,10
657,8
658,10
659,10
660,4
661,9
662,1
663,4
664,8
665,10
666,1
667,8
668,12
669,1
670,11
671,1
672,6
673,6
674,3
675,11
676,2
677,11
678,7
679,1
680,9
681,12
682,12
683,10
684,12
685,7
686,8
687,3
688,3
689,3
690,10
691,7
692,11
693,11
694,11
695,1
696,4
697,9
698,3
699,11
700,12
701,1
702,10
703,10
704,3
705,2
706,4
707,3
708,11
709,6
710,10
711,5
712,9
713,2
714,7
715,10
716,4
717,6
718,4
719,8
720,9
721,3
722,3
723,4
724,1
725,3
726,2
727,12
728,9
729,2
730,2
731,8
732,8
733,5
734,1
735,9
736,11
737,1
738,12
739,9
740,1
741,10
742,4
743,2
744,9
745,11
746,5
747,11
748,3
749,5
750,9
751,2
752,3
753,10
754,1
755,10
756,6
757,8
758,5
759,8
760,9
761,1
762,2
763,5
764,6
765,3
766,6
767,12
768,4
769,10
770,7
771,10
772,3
773,2
774,10
775,3
776,11
777,11
778,12
779,4
780,1
781,7
782,2
783,1
784,2
785,8
786,8
787,10
788,6
789,9
790,7
791,1
792,3
793,1
794,11
795,6
796,4
797,3
798,6
799,11
800,10
801,9
802,3
803,11
804,6
805,8
806,5
807,9
808,7
809,5
810,6
811,3
812,2
813,4
814,12
815,2
816,3
817,4
818,8
819,2
820,9
821,10
822,5
823,8
824,12
825,7
826,1
827,4
828,8
829,6
830,12
831,7
832,4
833,11
834,8
835,1
836,8
837,4
838,4
839,3
840,9
841,5
842,1
843,4
844,10
845,10
846,4
847,3
848,2
849,10
850,9
851,10
852,1
853,8
854,3
855,7
856,9
857,1
858,12
859,9
860,1
861,12
862,4
863,2
864,3
865,2
866,11
867,11
868,1
869,8
870,12
871,5
872,2
873,6
874,3
875,3
876,6
877,8
878,2
879,2
880,9
881,4
882,4
883,7
884,7
885,6
886,9
887,8
888,10
889,6
890,8
891,8
892,12
893,3
894,5
895,8
896,2
897,1
898,9
899,9
900,12
901,7
902,12
903,11
904,11
905,5
906,1
907,3
908,2
909,3
910,7
911,5
912,10
913,9
914,1
915,4
916,3
917,4
918,1
919,4
920,3
921,7
922,12
923,6
924,10
925,9
926,11
927,6
928,7
929,6
930,8
931,8
932,12
933,6
934,12
935,3
936,11
937,11
938,8
939,8
940,2
941,6
942,10
943,5
944,9
945,11
946,2
947,5
948,9
949,9
950,9
951,1
952,9
953,5
954,8
955,1
956,4
957,11
958,6
959,4
960,5
961,10
962,11
963,4
964,12
965,5
966,2
967,4
968,1
969,8
970,1
971,10
972,2
973,10
974,6
975,12
976,12
977,9
978,12
979,9
980,10
981,5
982,1
983,11
984,11
985,2
986,3
987,10
988,3
989,12
990,6
991,8
992,9
993,2
994,4
995,1
996,9
997,9
998,6
999,2
1000,7
1001,12
1002,7
1003,10
1004,4
1005,10
1006,11
1007,9
1008,4
1009,7
1010,7
1011,11
1012,6
1013,10
1014,3
1015,4
