,duration,budget,gross,year,month,roi_outlier_ind
6,78,2500,15610,2007,3,False
7,100,2500,51,2011,10,False
9,80,5000,18389,2005,4,False
10,75,5000,16743,2010,8,False
15,79,7000,74,2015,10,False
16,87,7300,15035,1998,10,False
17,79,8000,4882,2007,7,False
18,95,9000,5000,2011,11,False
20,78,10000,17341,2005,1,False
23,84,10000,2421,2015,8,False
24,65,12000,21818,2012,9,False
29,88,15000,77389,2009,3,False
31,92,20000,8466,2002,1,False
32,148,20000,4454,2019,5,False
36,78,24000,11000,2002,3,False
37,78,25000,62743,1986,6,False
39,90,25000,16187,2005,8,False
40,82,25000,297,2007,3,False
42,153,25000,14360,2013,10,False
43,80,25000,29904,2010,9,False
46,86,30000,16918,2000,6,False
47,83,30000,8125,2006,8,False
49,93,30000,9812,2009,7,False
50,103,30000,4392,2017,9,False
51,85,30000,115311,2014,4,False
52,72,30000,44652,2018,4,False
53,60,30000,5065,2018,8,False
54,120,33000,52238,2018,8,False
55,87,35000,47219,2005,4,False
56,128,35000,74759,2007,6,False
57,91,38000,48778,2004,1,False
58,98,38000,217794,2012,9,False
60,90,40000,143121,2001,9,False
61,102,40000,9811,2009,9,False
62,79,40000,25572,2009,5,False
64,83,42000,13888,2013,11,False
66,114,50000,9614,2003,6,False
67,90,50000,155212,2004,2,False
68,98,50000,3917,2004,10,False
69,87,50000,783,2005,9,False
71,96,50000,829,2008,7,False
72,80,50000,135809,2010,9,False
74,89,50000,139745,2013,8,False
75,97,50000,22167,2015,7,False
76,85,52000,2967,1995,11,False
77,88,55000,16814,2007,6,False
78,84,55000,210979,2016,11,False
82,84,60000,97182,2006,11,False
83,83,60000,150609,2006,6,False
84,89,60000,48996,2008,3,False
85,82,60000,40557,2011,3,False
86,82,60000,35556,2009,7,False
87,74,60000,30775,2008,3,False
88,98,65000,416498,2010,3,False
89,85,65000,5152,2019,3,False
90,79,68000,26351,1993,4,False
92,87,70000,8555,2011,4,False
93,95,70000,75504,2013,6,False
94,82,70000,30312,2014,6,False
95,93,75000,382807,2007,4,False
96,97,80000,514775,1994,2,False
97,85,80000,247554,2002,3,False
98,91,85000,116466,2019,12,False
99,96,90000,1090,2018,6,False
101,92,100000,479169,1992,3,False
102,89,100000,33402,1996,11,False
103,109,100000,60902,2001,7,False
104,87,100000,8741,2000,7,False
105,86,100000,515900,2001,7,False
106,78,100000,132745,2002,10,False
107,96,100000,12604,2003,7,False
108,81,100000,26888,2004,4,False
109,90,100000,25759,2005,4,False
111,86,100000,2795,2013,8,False
112,89,100000,47859,2008,3,False
113,126,100000,210951,2009,5,False
114,90,100000,202531,2011,9,False
116,106,100000,638726,2010,1,False
117,126,100000,11273,2013,2,False
119,90,100000,3256,2015,8,False
120,91,100000,596933,2014,8,False
121,88,100000,36316,2015,9,False
123,90,100000,179458,2016,3,False
125,92,100000,166022,2017,7,False
126,90,100000,189471,2017,3,False
127,90,100000,538208,2017,9,False
128,73,100000,1233,2018,4,False
129,77,103000,3233,2003,8,False
130,102,105000,4303,2011,10,False
131,133,110000,12296,2013,4,False
132,83,111000,609939,1986,8,False
133,87,120000,15927,2000,9,False
134,90,120000,199891,2007,1,False
135,85,120000,251922,2010,8,False
136,111,120000,14616,2015,11,False
138,87,125000,73445,2007,3,False
139,78,125000,94434,2008,1,False
141,88,125000,180117,2012,3,False
142,94,135000,7137,2010,9,False
143,90,135000,1532,2011,5,False
144,85,150000,924940,1995,1,False
145,94,150000,472370,1995,6,False
148,89,150000,15120,2009,4,False
149,106,150000,6196,2009,1,False
150,83,150000,475748,2009,9,False
151,122,150000,1708,2012,1,False
152,100,150000,3432,2014,4,False
153,104,150000,31031,2016,4,False
154,142,150000,35841,2016,1,False
155,74,150000,33901,2018,6,False
156,116,160000,137931,2002,12,False
157,96,160000,373635,2008,4,False
158,104,168000,74664,2015,6,False
160,88,170000,856,1999,5,False
162,89,175000,18861,2019,10,False
163,89,180000,933933,1997,1,False
164,78,180000,149971,2000,9,False
165,85,180000,212940,2011,5,False
166,88,185000,72234,2004,9,False
167,92,191000,456304,2018,10,False
169,108,200000,15843,1995,11,False
171,93,200000,1161843,2000,3,False
172,105,200000,83372,1999,11,False
